'BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD';75
'BABYFOOD,DINNER,BF STEW,TODD';51
'BABYFOOD,DINNER,VEG&BF,STR';77
'BABYFOOD,DINNER,VEG&BF,JR';77
'BABYFOOD,DINNER,BF W/VEG';96
'BABYFOOD,DINNER,VEG&BACON,STR';69
'BABYFOOD,DINNER,VEG&HAM,STR';59
'BABYFOOD,DINNER,VEG&HAM,JR';60
'BABYFOOD,DINNER,VEG&LAMB,STR';52
'BABYFOOD,DINNER,VEG&LAMB,JR';51
'BABYFOOD,DINNER,CHICK NOODLE,STR';66
'BABYFOOD,DINNER,CHICK NOODLE,JR';55
'BABYFOOD,DINNER,CHICK SOUP,STR';50
'BABYFOOD  DINNER  CHICK STEW  TODD';78
'BABYFOOD,DINNER,VEG CHICK,STR';59
'BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR';63
'BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR';64
'BABYFOOD,DINNER,PASTA W/VEG';60
'BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR';44
'BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR';52
'BABYFOOD,DINNER,TURKEY&RICE,STR';52
'BABYFOOD,DINNER,TURKEY&RICE,JR';56
'BABYFOOD,DINNER,VEG&TURKEY,STR';48
'BABYFOOD,DINNER,VEG&TURKEY,JR';53
'BABYFOOD,DINNER,VEG&TURKEY,TODD';80
'BABYFOOD,DINNER,MACARONI&CHS,STR';67
'BABYFOOD,DINNER,MACARONI&CHS,JR';61
'BABYFOOD,VEG,GRN BNS,STR';27
'BABYFOOD,VEG,GRN BNS,JR';24
'BABYFOOD,GRN BNS,DICES,TODD';29
'BABYFOOD,VEG,GRN BNS&POTATOES';62
'BABYFOOD,VEG,BEETS,STR';34
'BABYFOOD,VEG,CARROTS,STR';26
'BABYFOOD,VEG,CARROTS,JR';32
'BABYFOOD,VEG,SQUASH,STR';28
'BABYFOOD,VEG,SQUASH,JR';24
'BABYFOOD,VEG,SWT POTATOES,STR';57
'BABYFOOD,VEG,SWT POTATOES,JR';60
'BABYFOOD,POTATOES,TODDLER';52
'BABYFOOD,VEG,BUTTERNUT SQUASH&CORN';50
'BABYFOOD,APPLS,DICES,TODD';51
'BABYFOOD,FRUIT,APPLSAUC,STR';41
